timestamp,ambiente_temperature,energy,cost,active_power,voltage,current,internal_temperature
1546304400000,26.9000,0.0588,0.0372,58.8359,220.6954,0.2666,8.4514
1546308000000,26.6000,0.0519,0.0700,51.8957,222.5526,0.2332,7.8670
1546311600000,26.4000,0.0432,0.0973,43.1514,219.5393,0.1966,8.2203
1546315200000,26.5000,0.0555,0.1324,55.4713,218.3270,0.2541,7.9225
1546318800000,26.5000,0.0360,0.1552,36.0144,220.8779,0.1631,7.7849
1546322400000,26.0000,0.0391,0.1799,39.1163,221.9555,0.1762,8.5677
1546326000000,25.6000,0.0390,0.2046,38.9960,221.3259,0.1762,7.7010
1546329600000,25.9000,0.0530,0.2381,52.9546,220.3560,0.2403,7.7270
1546333200000,24.8000,0.0482,0.2686,48.1887,220.0862,0.2190,7.8843
1546336800000,24.8000,0.0511,0.3009,51.0710,219.7321,0.2324,8.5617
1546340400000,25.2000,0.0445,0.3290,44.4666,219.9920,0.2021,8.0465
1546344000000,28.0000,0.0604,0.3672,60.4092,219.0682,0.2758,8.2720
1546347600000,29.4000,0.0587,0.4043,58.6666,219.0303,0.2678,7.6178
1546351200000,29.9000,0.0532,0.4380,53.1871,220.9193,0.2408,8.1050
1546354800000,30.0000,0.0472,0.4678,47.1889,219.8636,0.2146,7.6152
1546358400000,30.6000,0.0662,0.5097,66.2056,220.6004,0.3001,8.3532
1546362000000,30.5000,0.0427,0.5367,42.6732,222.3046,0.1920,7.6096
1546365600000,30.0000,0.0479,0.5670,47.8972,222.0403,0.2157,7.5864
1546369200000,30.2000,0.0494,0.5982,49.3626,220.1393,0.2242,8.4694
1546372800000,29.2000,0.0538,0.6322,53.8077,221.8314,0.2426,7.7920
1546376400000,28.6000,0.0393,0.6571,39.3264,222.5000,0.1767,7.7955
1546380000000,28.1000,0.0490,0.6881,49.0446,220.7865,0.2221,8.4514
1546383600000,27.4000,0.0430,0.7153,42.9539,219.1326,0.1960,8.2010
1546387200000,27.1000,0.0430,0.7425,43.0447,218.9248,0.1966,8.1189
1546390800000,27.0000,0.0394,0.7674,39.3863,217.7236,0.1809,7.7628
1546394400000,27.0000,0.0554,0.8024,55.3974,218.0135,0.2541,7.6136
1546398000000,26.9000,0.0357,0.8250,35.6995,222.2800,0.1606,7.7176
1546401600000,26.0000,0.0374,0.8487,37.4329,220.4999,0.1698,8.3915
1546405200000,25.4000,0.0384,0.8730,38.4172,221.8444,0.1732,8.2383
1546408800000,24.9000,0.0543,0.9074,54.3474,219.5752,0.2475,8.5323
