Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2019-01-01;0000;27.1;
2019-01-01;0100;26.9;
2019-01-01;0200;26.6;
2019-01-01;0300;26.4;
2019-01-01;0400;26.5;
2019-01-01;0500;26.5;
2019-01-01;0600;26;
2019-01-01;0700;25.6;
2019-01-01;0800;25.9;
2019-01-01;0900;24.8;
2019-01-01;1000;24.8;
2019-01-01;1100;25.2;
2019-01-01;1200;28;
2019-01-01;1300;29.4;
2019-01-01;1400;29.9;
2019-01-01;1500;30;
2019-01-01;1600;30.6;
2019-01-01;1700;30.5;
2019-01-01;1800;30;
2019-01-01;1900;30.2;
2019-01-01;2000;29.2;
2019-01-01;2100;28.6;
2019-01-01;2200;28.1;
2019-01-01;2300;27.4;
2019-01-02;0000;27.1;
2019-01-02;0100;27;
2019-01-02;0200;27;
2019-01-02;0300;26.9;
2019-01-02;0400;26;
2019-01-02;0500;25.4;
2019-01-02;0600;24.9;
2019-01-02;0700;24.5;
2019-01-02;0800;24.2;
2019-01-02;0900;23.9;
2019-01-02;1000;25.6;
2019-01-02;1100;27.1;
2019-01-02;1200;28.6;
2019-01-02;1300;30.5;
2019-01-02;1400;30.5;
2019-01-02;1500;31;
2019-01-02;1600;31.2;
2019-01-02;1700;31.7;
2019-01-02;1800;30.9;
2019-01-02;1900;30.6;
2019-01-02;2000;29.7;
2019-01-02;2100;29.2;
2019-01-02;2200;28.3;
2019-01-02;2300;27.9;
2019-01-03;0000;27.9;
2019-01-03;0100;28.1;
2019-01-03;0200;28;
2019-01-03;0300;27.4;
2019-01-03;0400;26.7;
2019-01-03;0500;26.9;
2019-01-03;0600;26.4;
2019-01-03;0700;26.7;
2019-01-03;0800;26.8;
2019-01-03;0900;26.6;
2019-01-03;1000;27;
2019-01-03;1100;29.3;
2019-01-03;1200;31.1;
2019-01-03;1300;32.7;
2019-01-03;1400;36;
2019-01-03;1500;37.3;
2019-01-03;1600;38.3;
2019-01-03;1700;39.1;
2019-01-03;1800;39.3;
2019-01-03;1900;36.1;
2019-01-03;2000;33.9;
2019-01-03;2100;29.5;
2019-01-03;2200;29;
2019-01-03;2300;27.3;
2019-01-04;0000;26;
2019-01-04;0100;26.4;
2019-01-04;0200;25.3;
2019-01-04;0300;25.3;
2019-01-04;0400;25.4;
2019-01-04;0500;25.3;
2019-01-04;0600;25.2;
2019-01-04;0700;24.6;
2019-01-04;0800;24.5;
2019-01-04;0900;25.3;
2019-01-04;1000;25.1;
2019-01-04;1100;25.2;
2019-01-04;1200;25;
2019-01-04;1300;24.4;
2019-01-04;1400;25.2;
2019-01-04;1500;25.7;
2019-01-04;1600;25.4;
2019-01-04;1700;25.5;
2019-01-04;1800;24.3;
2019-01-04;1900;24.2;
2019-01-04;2000;24.7;
2019-01-04;2100;24.6;
2019-01-04;2200;24.2;
2019-01-04;2300;24.1;
2019-01-05;0000;23.8;
2019-01-05;0100;23.5;
2019-01-05;0200;23.2;
2019-01-05;0300;23;
2019-01-05;0400;23.1;
2019-01-05;0500;23;
2019-01-05;0600;23;
2019-01-05;0700;23;
2019-01-05;0800;23.4;
2019-01-05;0900;23.6;
2019-01-05;1000;23.7;
2019-01-05;1100;24.2;
2019-01-05;1200;24.3;
2019-01-05;1300;22.9;
2019-01-05;1400;23.1;
2019-01-05;1500;23.8;
2019-01-05;1600;25.1;
2019-01-05;1700;24.8;
2019-01-05;1800;24.7;
2019-01-05;1900;26.2;
2019-01-05;2000;24.9;
2019-01-05;2100;24.4;
2019-01-05;2200;24.3;
2019-01-05;2300;24.1;
2019-01-06;0000;24.3;
2019-01-06;0100;24.1;
2019-01-06;0200;24.1;
2019-01-06;0300;23.2;
2019-01-06;0400;22.8;
2019-01-06;0500;22.3;
2019-01-06;0600;21.9;
2019-01-06;0700;22;
2019-01-06;0800;22.1;
2019-01-06;0900;21.8;
2019-01-06;1000;22.6;
2019-01-06;1100;23.5;
2019-01-06;1200;25.6;
2019-01-06;1300;26.9;
2019-01-06;1400;27.3;
2019-01-06;1500;30;
2019-01-06;1600;29.6;
2019-01-06;1700;29.2;
2019-01-06;1800;29.2;
2019-01-06;1900;29.8;
2019-01-06;2000;28.4;
2019-01-06;2100;28.1;
2019-01-06;2200;27;
2019-01-06;2300;26.4;
2019-01-07;0000;26.5;
2019-01-07;0100;25.1;
2019-01-07;0200;24.4;
2019-01-07;0300;24.4;
2019-01-07;0400;24.5;
2019-01-07;0500;24.1;
2019-01-07;0600;24.3;
2019-01-07;0700;24.6;
2019-01-07;0800;25;
2019-01-07;0900;25.2;
2019-01-07;1000;25.3;
2019-01-07;1100;27;
2019-01-07;1200;28;
2019-01-07;1300;30.5;
2019-01-07;1400;31;
2019-01-07;1500;31.4;
2019-01-07;1600;34.9;
2019-01-07;1700;33.5;
2019-01-07;1800;32.2;
2019-01-07;1900;30.6;
2019-01-07;2000;30;
2019-01-07;2100;26.2;
2019-01-07;2200;25.7;
2019-01-07;2300;25.7;
2019-01-08;0000;25.7;
2019-01-08;0100;25.6;
2019-01-08;0200;27.4;
2019-01-08;0300;27.8;
2019-01-08;0400;26.7;
2019-01-08;0500;25.9;
2019-01-08;0600;25.8;
2019-01-08;0700;26.2;
2019-01-08;0800;25.5;
2019-01-08;0900;25.6;
2019-01-08;1000;25.9;
2019-01-08;1100;27.7;
2019-01-08;1200;29.8;
2019-01-08;1300;29;
2019-01-08;1400;29.2;
2019-01-08;1500;28.8;
2019-01-08;1600;28.9;
2019-01-08;1700;29.3;
2019-01-08;1800;28.9;
2019-01-08;1900;28.4;
2019-01-08;2000;27.5;
2019-01-08;2100;26.6;
2019-01-08;2200;26.4;
2019-01-08;2300;26.4;
2019-01-09;0000;25.7;
2019-01-09;0100;25.4;
2019-01-09;0200;24.9;
2019-01-09;0300;24.7;
2019-01-09;0400;24;
2019-01-09;0500;23.9;
2019-01-09;0600;23.6;
2019-01-09;0700;23.5;
2019-01-09;0800;23.7;
2019-01-09;0900;23;
2019-01-09;1000;24.9;
2019-01-09;1100;26.2;
2019-01-09;1200;28.7;
2019-01-09;1300;29;
2019-01-09;1400;28.9;
2019-01-09;1500;30.6;
2019-01-09;1600;30.6;
2019-01-09;1700;31.2;
2019-01-09;1800;32.1;
2019-01-09;1900;31.2;
2019-01-09;2000;30.7;
2019-01-09;2100;29.7;
2019-01-09;2200;28.8;
2019-01-09;2300;28.2;
2019-01-10;0000;28.2;
2019-01-10;0100;28.2;
2019-01-10;0200;27.9;
2019-01-10;0300;27.7;
2019-01-10;0400;27.5;
2019-01-10;0500;27.4;
2019-01-10;0600;27.4;
2019-01-10;0700;27.2;
2019-01-10;0800;27.1;
2019-01-10;0900;27.1;
2019-01-10;1000;27.3;
2019-01-10;1100;28;
2019-01-10;1200;29.3;
2019-01-10;1300;30.4;
2019-01-10;1400;31.2;
2019-01-10;1500;31.9;
2019-01-10;1600;31.3;
2019-01-10;1700;31.4;
2019-01-10;1800;31.4;
2019-01-10;1900;29.9;
2019-01-10;2000;28.7;
2019-01-10;2100;27.2;
2019-01-10;2200;27.9;
2019-01-10;2300;28;
2019-01-11;0000;27.9;
2019-01-11;0100;26.8;
2019-01-11;0200;25.8;
2019-01-11;0300;25.3;
2019-01-11;0400;24.4;
2019-01-11;0500;24.3;
2019-01-11;0600;24.2;
2019-01-11;0700;24.3;
2019-01-11;0800;23.8;
2019-01-11;0900;23.7;
2019-01-11;1000;25.2;
2019-01-11;1100;28.8;
2019-01-11;1200;27.9;
2019-01-11;1300;28.9;
2019-01-11;1400;29.3;
2019-01-11;1500;30.6;
2019-01-11;1600;31.2;
2019-01-11;1700;31.4;
2019-01-11;1800;29.5;
2019-01-11;1900;29;
2019-01-11;2000;28.7;
2019-01-11;2100;27.2;
2019-01-11;2200;26.6;
2019-01-11;2300;26.8;
2019-01-12;0000;26.7;
2019-01-12;0100;26.4;
2019-01-12;0200;26.2;
2019-01-12;0300;26.3;
2019-01-12;0400;26.1;
2019-01-12;0500;25.9;
2019-01-12;0600;25.5;
2019-01-12;0700;24.8;
2019-01-12;0800;24.6;
2019-01-12;0900;24.3;
2019-01-12;1000;24.6;
2019-01-12;1100;25.9;
2019-01-12;1200;26.8;
2019-01-12;1300;27;
2019-01-12;1400;28.4;
2019-01-12;1500;28.7;
2019-01-12;1600;29.2;
2019-01-12;1700;29.8;
2019-01-12;1800;29.8;
2019-01-12;1900;29.6;
2019-01-12;2000;28.3;
2019-01-12;2100;27.7;
2019-01-12;2200;27.4;
2019-01-12;2300;27.3;
2019-01-13;0000;27.2;
2019-01-13;0100;27.1;
2019-01-13;0200;26.6;
2019-01-13;0300;25.9;
2019-01-13;0400;24.5;
2019-01-13;0500;24;
2019-01-13;0600;23.2;
2019-01-13;0700;22.6;
2019-01-13;0800;22.6;
2019-01-13;0900;22.5;
2019-01-13;1000;22.9;
2019-01-13;1100;23.8;
2019-01-13;1200;26.4;
2019-01-13;1300;28.5;
2019-01-13;1400;30;
2019-01-13;1500;30.8;
2019-01-13;1600;31;
2019-01-13;1700;31;
2019-01-13;1800;29.9;
2019-01-13;1900;29.1;
2019-01-13;2000;28.5;
2019-01-13;2100;28.2;
2019-01-13;2200;28.1;
