timestamp,ambiente_temperature,energy,active_power,voltage,current,internal_temperature,cost,status
1577840400,26.9000,0.0478,47.8025,220.2103,0.2171,8.4312,0.0302,ON
1577844000,26.6000,0.0537,53.7021,218.1693,0.2461,8.4193,0.0642,ON
1577847600,26.4000,0.0550,55.0034,218.7949,0.2514,7.6654,0.0990,ON
1577851200,26.5000,0.0390,38.9698,219.6294,0.1774,8.4048,0.1236,ON
1577854800,26.5000,0.0412,41.2036,222.4938,0.1852,8.5093,0.1497,ON
1577858400,26.0000,0.0366,36.6140,219.7073,0.1666,7.8659,0.1729,ON
1577862000,25.6000,0.0410,41.0094,218.5250,0.1877,8.2866,0.1988,ON
1577865600,25.9000,0.0347,34.7287,221.8008,0.1566,7.6497,0.2208,ON
1577869200,24.8000,0.0492,49.2404,220.3193,0.2235,7.8947,0.2519,ON
1577872800,24.8000,0.0395,39.4638,221.0121,0.1786,8.2194,0.2769,ON
1577876400,25.2000,0.0357,35.7436,218.7599,0.1634,8.2926,0.2995,ON
1577880000,28.0000,0.0583,58.2693,220.1676,0.2647,8.1978,0.3363,ON
1577883600,29.4000,0.0567,56.7447,220.5929,0.2572,7.9491,0.3722,ON
1577887200,29.9000,0.0596,59.5511,222.1578,0.2681,8.0141,0.4099,ON
1577890800,30.0000,0.0611,61.1226,222.3489,0.2749,8.5521,0.4485,ON
1577894400,30.6000,0.0421,42.0929,219.0273,0.1922,8.3490,0.4752,ON
1577898000,30.5000,0.0606,60.5690,222.1804,0.2726,8.1816,0.5135,ON
1577901600,30.0000,0.0636,63.5983,218.8165,0.2906,7.9480,0.5537,ON
1577905200,30.2000,0.0658,65.8081,221.5914,0.2970,8.0278,0.5953,ON
1577908800,29.2000,0.0457,45.6508,219.7911,0.2077,7.7328,0.6242,ON
1577912400,28.6000,0.0391,39.1341,217.6958,0.1798,8.2168,0.6489,ON
1577916000,28.1000,0.0493,49.3128,221.0950,0.2230,7.9571,0.6801,ON
1577919600,27.4000,0.0430,42.9776,217.8335,0.1973,7.6475,0.7073,ON
1577923200,27.1000,0.0503,50.2831,218.3468,0.2303,8.2241,0.7391,ON
1577926800,27.0000,0.0551,55.1492,220.8489,0.2497,8.2605,0.7740,ON
1577930400,27.0000,0.0598,59.7563,217.8843,0.2743,7.7501,0.8118,ON
1577934000,26.9000,0.0480,48.0098,220.1399,0.2181,7.9313,0.8422,ON
1577937600,26.0000,0.0469,46.8950,220.1735,0.2130,8.2328,0.8718,ON
1577941200,25.4000,0.0414,41.3661,220.3080,0.1878,7.8427,0.8980,ON
1577944800,24.9000,0.0459,45.8940,220.3695,0.2083,7.8870,0.9270,ON
1577948400,24.5000,0.0541,54.1454,217.6236,0.2488,8.2566,0.9613,ON
1577952000,24.2000,0.0414,41.3603,220.2121,0.1878,8.5505,0.9874,ON
1577955600,23.9000,0.0440,44.0061,220.6150,0.1995,7.9271,1.0153,ON
1577959200,25.6000,0.0556,55.5696,219.2682,0.2534,7.8311,1.0504,ON
1577962800,27.1000,0.0434,43.3662,220.1546,0.1970,8.4884,1.0778,ON
1577966400,28.6000,0.0456,45.5603,221.9237,0.2053,7.8582,1.1066,ON
1577970000,30.5000,0.0566,56.6367,221.6519,0.2555,7.5934,1.1425,ON
1577973600,30.5000,0.0600,60.0069,221.2880,0.2712,8.4339,1.1804,ON
1577977200,31.0000,0.0670,67.0462,221.6474,0.3025,8.5220,1.2228,ON
1577980800,31.2000,0.0454,45.3844,221.0776,0.2053,8.4143,1.2515,ON
1577984400,31.7000,0.0659,65.8889,217.8545,0.3024,7.7325,1.2932,ON
1577988000,30.9000,0.0625,62.5277,219.2993,0.2851,8.1650,1.3328,ON
1577991600,30.6000,0.0413,41.2923,220.0683,0.1876,8.2852,1.3589,ON
1577995200,29.7000,0.0535,53.4527,221.3369,0.2415,8.1340,1.3927,ON
1577998800,29.2000,0.0583,58.2628,221.5523,0.2630,7.9474,1.4295,ON
1578002400,28.3000,0.0518,51.7723,219.9881,0.2353,7.7574,1.4623,ON
1578006000,27.9000,0.0562,56.1894,219.5664,0.2559,8.1471,1.4978,ON
1578009600,27.9000,0.0408,40.7501,218.9928,0.1861,8.0612,1.5236,ON
1578013200,28.1000,0.0509,50.9161,221.8481,0.2295,7.8429,1.5558,ON
1578016800,28.0000,0.0578,57.8368,218.8415,0.2643,7.7505,1.5924,ON
1578020400,27.4000,0.0533,53.2628,218.1034,0.2442,7.8416,1.6261,ON
1578024000,26.7000,0.0468,46.8215,218.2944,0.2145,8.3836,1.6557,ON
1578027600,26.9000,0.0487,48.6733,221.7271,0.2195,8.2878,1.6865,ON
1578031200,26.4000,0.0564,56.3674,221.2790,0.2547,8.3555,1.7221,ON
1578034800,26.7000,0.0585,58.5051,218.2470,0.2681,8.0440,1.7591,ON
1578038400,26.8000,0.0502,50.1601,221.0295,0.2269,8.1374,1.7908,ON
1578042000,26.6000,0.0440,44.0005,218.7482,0.2011,7.9366,1.8187,ON
1578045600,27.0000,0.0484,48.3685,217.6527,0.2222,8.2488,1.8493,ON
1578049200,29.3000,0.0534,53.3810,219.8722,0.2428,7.6031,1.8830,ON
1578052800,31.1000,0.0629,62.9399,219.3173,0.2870,8.2772,1.9228,ON
1578056400,32.7000,0.0636,63.5803,218.4961,0.2910,8.2320,1.9631,ON
1578060000,36.0000,0.0500,50.0123,218.0511,0.2294,8.0441,1.9947,ON
1578063600,37.3000,0.0543,54.3063,219.3135,0.2476,7.9873,2.0290,ON
1578067200,38.3000,0.0782,78.2164,220.1024,0.3554,8.1822,2.0785,ON
1578070800,39.1000,0.0848,84.8301,219.8734,0.3858,8.2349,2.1322,ON
1578074400,39.3000,0.0719,71.8762,220.0929,0.3266,7.8641,2.1776,ON
1578078000,36.1000,0.0526,52.6206,221.7225,0.2373,7.9295,2.2109,ON
1578081600,33.9000,0.0499,49.9352,219.6629,0.2273,8.3977,2.2425,ON
